Parcel(s),SFPUC Code,Building Address,Facility,Notes,Department Name,Department Code,Building Category,Facility Type,Year Built,Year Renovated,Building Floor Area (sq.ft.),2019 ENERGY STAR score,2019 Energy Use Intensity (kBtu/sq.ft.),2019 Carbon Intensity (lbs CO2e/sq.ft.)
6252/036,263,201 Leland Ave,Visitacion Valley Branch Library,,Public Library,SFPL,Libraries,Library,2011,N/A,9945,,44.58421663,1.724385636
6202/045,1406,103 Tucker Ave,Visitacion Valley CDC,Building with no gas services.,Recreation & Park Department,RPD,Education,Childcare/Nursery School,1998,N/A,1753,,37.55243697,0
6253/001,401,251 Leland St,Visitacion Valley Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2003,N/A,2600,,25.29965585,1.271684549
6254/001,1013,55 Schwerin St,Visitacion Valley Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1936,N/A,51400,79,31.51332631,2.836627557
6237/009,2034,50 Raymond Ave,Visitacion Valley Family Resource Center,,Real Estate Division,RED,Education,Childcare / Teen Center / Family Center,1940,N/A,12000,,29.33232523,2.316427763
6221/005,1012,450 Raymond Ave,Visitacion Valley Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1971,N/A,113600,5,76.38474357,7.001314147
0786A/001A,469,301-401 Van Ness Ave,War Memorial Veterans Building,"Adjacent facilities combined for benchmarking, due to shared mechanical systems.",War Memorial and Performing Arts Center,WMPAC,Performance Halls,Performance Hall,1932,N/A,529700,,99.42945952,7.025083886
2488/001-B,372,901 Wawona St,Wawona Clubhouse (Project Insight),,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1950,N/A,1830,,26.40310754,2.081772753
2919/031,264,190 Lenox Way,West Portal Branch Library,,Public Library,SFPL,Libraries,Library,1939,2007,8010,,76.81027885,4.93453355
2979/013A,402,131 Lenox Way,West Portal Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2004,N/A,2728,,23.01497537,0.8161603035
2979/014,1006,5 Lenox Way,West Portal Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1927,N/A,44700,70,28.34982225,2.15541068
2094/013-B,405,3223 Ortega St,West Sunset Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1953,N/A,13530,,9.857440503,0.2099884768
0703/002-B,265,1550 Scott St,Western Addition Branch Library,,Public Library,SFPL,Libraries,Library,1966,2008,8000,,79.5223407,6.08691222
5346/005,2048,2055 Silver Ave,Willie L. Brown Jr. Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,2001,N/A,177000,100,11.06972629,0.7253994478
0225/018,287,850 Sacramento St,Willie Woo Woo Wong Clubhouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019. Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1927,N/A,6000,,3.245551267,0
0180/008,1311,922 Jackson St,Woh Hei Yuen Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1997,N/A,5000,,54.11891984,3.829536008
3758/128,471,930 Bryant St,Women's Resource Center,,Sheriff’s Department,SHF,Offices,General Office,1959,N/A,5920,27,75.13947561,6.424595688
4169/002,516,1001 22nd St,Woods Division - Motor Coach,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1976,N/A,161719,,99.76570852,6.577301335
5501/050,1920,3127 Mission St,Workforce Development Service Center,Building with no gas services.,Human Services Agency,HSA,Offices,Office,1947,2010,2465,94,23.8878757,0
0072/001,1128,2245 Jones St,Yick Wo Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1936,N/A,26000,17,41.0214416,2.105896472
0853/020,413,95 Gough St,Yoey at Bessie Smith CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1943,N/A,3700,,32.97541319,2.42095759
4720/034,408,Hudson St & Keith St,Youngblood Coleman Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1960,N/A,2135,,132.7378314,1.993571487
2842/007-B,94,375 Woodside Ave,Youth Guidance Center,,Juvenile Probation,JUV,Public Safety,Jail / Correctional,1950,2006,210000,,133.0585178,11.90649788
6529/004,414,2950 Mission St,Zaida Rodriguez TK (old Mission CDC),,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1976,N/A,4100,,39.6472121,2.19786613
6529/020,2018,421 Bartlett St,Zaida T Rodriguez EES Pre-K,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1976,N/A,1800,,104.2216333,8.536472499
